,Nodes,Edges,Density,Avg_Clustering,Avg_Connectivity,Components,Exponent_Centrality,Exponent_Weight,Diameter,Radius,Avg_Shortest_Path,Frac_LCC
1914,652,6516,0.03070311837380905,0.7878742491630518,19.987730061349712,4,2.1056507847891908,2.424115137945765,9,5,4.334811166965644,0.8312883435582822
1915,662,6571,0.030033228057826877,0.7808414355670139,19.85196374622352,3,2.1357612245624935,2.3663296582805304,12,6,5.2175471546242385,0.9229607250755287
1916,458,4689,0.04480521341958663,0.7875931952800945,20.47598253275108,3,2.0974546745633553,2.458791442712827,12,6,5.158480751713888,0.8930131004366813
1917,438,4298,0.044909772943376905,0.8010667326566914,19.625570776255724,4,2.1268805118495537,2.3456052733750905,12,6,4.918966947044189,0.8401826484018264
1918,427,3869,0.042539389341513564,0.8065552545065054,18.121779859484754,6,2.2375358184913248,2.233263717065334,12,6,5.257412852685686,0.7002341920374707
1919,432,4312,0.046317779496433786,0.7701640134395143,19.96296296296302,3,2.1355109079666454,2.2976831042391455,10,5,4.324859348606051,0.8773148148148148
1920,427,3873,0.04258336906686018,0.8139540356368665,18.14051522248244,5,2.235742917694941,2.379803378059122,11,6,5.3719548770341135,0.7540983606557377
1921,423,4026,0.0451077274713455,0.8030343586303759,19.035460992907822,4,2.1686865438977447,2.2521680403519153,11,6,5.093168529593044,0.8203309692671394
1922,420,3904,0.044368678258893055,0.8220246478391445,18.590476190476174,9,2.19387071371074,2.3572015326043925,8,4,3.427781289506953,0.26904761904761904
1923,432,4020,0.043181232276359886,0.8130350977033894,18.611111111111104,8,2.194057775997471,2.4096731209324167,8,4,3.4982545223738497,0.3194444444444444
1924,461,4434,0.04181835329623691,0.81368576556349,19.23644251626904,8,2.155536649407341,2.2469492776427216,7,4,3.7488442211055277,0.43383947939262474
1925,455,4607,0.04460473447257588,0.804400261491982,20.25054945054945,4,2.0873622922001815,2.4129289867522825,9,5,3.9297989949748744,0.43956043956043955
1926,439,4330,0.04503801707908177,0.8042864655285333,19.726651480637816,3,2.1174577663695207,2.4475959025237186,16,8,6.515860305497611,0.8792710706150342
1927,451,4473,0.044079822616407985,0.7969394175816942,19.83592017738359,4,2.1153243944180113,2.435716382689452,12,6,4.838020471032495,0.7716186252771619
1928,436,4251,0.04482758620689655,0.8112539423599849,19.500000000000007,7,2.1283895221974114,2.400365335183084,8,5,3.8606004901960786,0.5871559633027523
1929,445,4220,0.04271687417754833,0.8095093244717032,18.96629213483148,6,2.1725320714608647,2.3315175310134997,10,6,4.567585726372369,0.6382022471910113
1930,432,4423,0.04751009710406462,0.7809947758135091,20.476851851851865,3,2.0743436628599046,2.395773067891923,10,5,4.151115864527629,0.8680555555555556
1931,447,4387,0.044010393154161775,0.8117382102566566,19.628635346756123,6,2.123866029684027,2.3442849864219486,6,3,3.018743667679838,0.31543624161073824
1932,421,4238,0.04793575387399615,0.789933379439775,20.133016627078423,3,2.0839510251274693,2.28182104978067,10,5,4.409535825481777,0.7458432304038005
1933,416,4069,0.04713855421686747,0.7966935300661215,19.562499999999993,4,2.1180730717812013,2.3522606826626897,11,6,4.588117094631753,0.7403846153846154
1934,434,4195,0.04464618299081534,0.7999251702573658,19.33179723502305,3,2.1693915137525597,2.396828483129676,11,6,4.257302545691906,0.8847926267281107
1935,443,4175,0.04264424992084002,0.8047518100496246,18.848758465011286,2,2.191545794748415,2.243155341300004,13,7,5.545583936578871,0.8171557562076749
